,solution_id,FTS_id,carrier_id,lat,lng,arrivaltime,exittime,operation_time,Setup_time,travel_Distance,travel_time,operation_rate,consumption_rate,demand
0,0,1,3,0,0,30.0,968.135265700483,938.135265700483,0,30.0,30.0,0.22,0,4264.251207729469
1,0,1,1,0,0,5394.677988998756,5465.355913337539,70.67792433878367,0,1.23,1.23,0.22,0,321.26329244901666
2,0,1,4,0,0,969.2252657004831,5379.382379036291,4410.157113335808,0,1.23,1.23,0.22,0,20046.16869698095
3,0,2,1,0,0,30.0,5465.355913337539,5435.355913337539,0,0.0,0.0,0.244,0,22276.04882515385
4,0,3,2,0,0,1797.2000000000003,5325.666829612757,3528.466829612757,0,1.8,1.8,0.194,0,18187.973348519365
5,0,3,3,0,0,30.0,968.135265700483,938.135265700483,0,1.8,1.8,0.194,0,4835.748792270531
6,0,3,4,0,0,969.2252657004831,5379.382379036291,4410.157113335808,0,0.0,0.0,0.194,0,22732.76862544231
7,0,4,1,0,0,30.0,5465.355913337539,5435.355913337539,0,0.0,0.0,0.259,0,20985.930167326405
8,0,5,1,0,0,30.0,5465.355913337539,5435.355913337539,0,0.0,0.0,0.248,0,21916.757715070722
9,0,6,2,0,0,30.0,5325.666829612757,5295.666829612757,0,0.0,0.0,0.245,0,21614.96665148064
10,0,6,4,0,0,5328.006829612757,5379.382379036291,51.37554942353381,0,2.34,2.34,0.245,0,209.69612009605638
11,0,7,4,0,0,30.0,5379.382379036291,5349.382379036291,0,0.0,0.0,0.192,0,27861.366557480684
