,solution_id,FTS_id,carrier_id,lat,lng,arrivaltime,exittime,operation_time,Setup_time,travel_Distance,travel_time,operation_rate,consumption_rate,demand
0,0,1,4,0,0,1082.496231884058,2606.1629685640273,1523.6667366799693,0,0.96,0.96,0.22,0,6925.75789399986
1,0,1,1,0,0,2607.2629685640272,3988.664408473074,1381.401439909047,0,1.1,1.1,0.22,0,6279.097454132032
2,0,1,2,0,0,30.0,782.1515082785212,752.1515082785212,0,0.73,0.73,0.22,0,3418.8704921750964
3,0,1,5,0,0,784.0615082785212,3771.5841970677156,2987.5226887891945,0,0.0,0.0,0.22,0,13579.64858540543
4,0,2,1,0,0,30.0,3988.664408473074,3958.664408473074,0,0.0,0.0,0.244,0,16224.034460955223
5,0,3,3,0,0,1081.886231884058,2797.212184405535,1715.3259525214771,0,0.35,0.35,0.194,0,8841.88635320349
6,0,3,4,0,0,2009.7600000000004,2606.1629685640273,596.4029685640269,0,0.83,0.83,0.194,0,3074.2421060001384
7,0,3,1,0,0,3950.860000000001,3988.664408473074,37.80440847307318,0,1.1,1.1,0.194,0,194.86808491274834
8,0,3,2,0,0,30.0,782.1515082785212,752.1515082785212,0,0.73,0.73,0.194,0,3877.0696303016557
9,0,3,5,0,0,784.0615082785212,3771.5841970677156,2987.5226887891945,0,1.91,1.91,0.194,0,15399.601488604096
10,0,4,2,0,0,30.0,782.1515082785212,752.1515082785212,0,30.0,30.0,0.259,0,2904.059877523248
11,0,5,3,0,0,30.0,2797.212184405535,2767.212184405535,0,0.0,0.0,0.248,0,11158.113646796512
12,0,6,5,0,0,30.0,3771.5841970677156,3741.5841970677156,0,0.0,0.0,0.245,0,15271.772232929452
13,0,7,5,0,0,30.0,3771.5841970677156,3741.5841970677156,0,0.0,0.0,0.192,0,19487.41769306102
