,solution_id,FTS_id,carrier_id,lat,lng,arrivaltime,exittime,operation_time,Setup_time,travel_Distance,travel_time,operation_rate,consumption_rate,demand
0,0,1,2,0,0,30.0,8653.221285112058,8623.221285112058,0,0.0,0.0,0.22,0,39196.46038687299
1,0,2,3,0,0,30.0,508.7766217351599,478.7766217351599,0,30.0,30.0,0.244,0,1962.1992694063931
2,0,2,4,0,0,509.5466217351599,5194.616841419442,4685.070219684282,0,1.1,1.1,0.244,0,19201.107457722468
3,0,2,1,0,0,7790.606769204475,11031.957964714024,3241.3511955095482,0,1.1,1.1,0.244,0,13284.226211104706
4,0,3,5,0,0,890.11328,4687.1006800000005,3796.9874000000004,0,0.67,0.67,0.194,0,19572.100000000002
5,0,3,3,0,0,30.0,508.7766217351599,478.7766217351599,0,0.67,0.67,0.194,0,2467.9207305936075
6,0,3,4,0,0,509.5466217351599,5194.616841419442,4685.070219684282,0,0.77,0.77,0.194,0,24149.84649321795
7,0,4,2,0,0,30.0,8653.221285112058,8623.221285112058,0,0.0,0.0,0.259,0,33294.290676108336
8,0,5,1,0,0,30.0,11031.957964714024,11001.957964714024,0,0.0,0.0,0.248,0,44362.733728685576
9,0,6,1,0,0,30.0,11031.957964714024,11001.957964714024,0,0.0,0.0,0.245,0,44905.95087638377
10,0,7,2,0,0,7790.246769204475,8653.221285112058,862.9745159075837,0,0.74,0.74,0.192,0,4494.658937018665
11,0,7,4,0,0,30.0,5194.616841419442,5164.616841419442,0,0.74,0.74,0.192,0,26899.04604905959
12,0,7,1,0,0,5195.716841419442,11031.957964714024,5836.2411232945815,0,1.1,1.1,0.192,0,30397.089183825945
