,solution_id,FTS_id,carrier_id,lat,lng,arrivaltime,exittime,operation_time,Setup_time,travel_Distance,travel_time,operation_rate,consumption_rate,demand
0,0,1,2,0,0,30.0,8107.549709401708,8077.549709401708,0,0.0,0.0,0.22,0,36716.13504273504
1,0,2,3,0,0,30.0,3923.1625677932407,3893.1625677932407,0,0.67,0.67,0.244,0,15955.584294234593
2,0,2,5,0,0,7591.522400000001,8025.468525927537,433.94612592753583,0,0.67,0.67,0.244,0,1778.4677292112124
3,0,2,4,0,0,8025.928525927537,10823.784836158824,2797.8563102312874,0,0.0,0.0,0.244,0,11466.624222259376
4,0,3,1,0,0,30.0,14142.263626943008,14112.263626943008,0,30.0,30.0,0.194,0,72743.62694300519
5,0,4,3,0,0,30.0,3923.1625677932407,3893.1625677932407,0,30.0,30.0,0.259,0,15031.515705765407
6,0,4,5,0,0,3923.8325677932407,8025.468525927537,4101.635958134296,0,0.67,0.67,0.259,0,15836.432270788786
7,0,4,4,0,0,8025.928525927537,10823.784836158824,2797.8563102312874,0,0.46,0.46,0.259,0,10802.534016337017
8,0,5,2,0,0,30.0,8107.549709401708,8077.549709401708,0,30.0,30.0,0.248,0,32570.764957264953
9,0,5,4,0,0,8108.289709401708,10823.784836158824,2715.495126757116,0,0.0,0.0,0.248,0,10949.577124020629
10,0,6,4,0,0,30.0,10823.784836158824,10793.784836158824,0,0.0,0.0,0.245,0,44056.264637382956
11,0,7,1,0,0,30.0,14142.263626943008,14112.263626943008,0,0.0,0.0,0.192,0,73501.37305699482
